index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,counted_pct
157,110185,,,,,,,,,,,,,,,,,,46.8
158,110219,,,,,,,,,,,,,,,,,,87.5
159,110246,,,,,,,,,,,,,,,,,,35.1
160,110334,,,,,,,,,,,,,,,,,,30.7
161,110361,,,,,,,,,,,,,,,,,,58.8
162,110370,,,,,,,,,,,,,,,,,,99.5
163,110404,,,,,,,,,,,,,,,,,,96.7
164,110413,,,,,,,,,,,,,,,,,,99.3
165,110422,2010,27,1.4,50.9,10.7,74.6,5,2.1,5.9,78.7,2.1,4.6,2.4,85.7,3.4,0.4,1,83
166,110468,,,,,,,,,,,,,,,,,,
167,110486,2010,17.6,1.4,43.3,20.5,43.3,5.2,12.7,15.1,63.8,4.3,7.6,9.8,68.4,7.2,3.2,5.2,52.9
168,110495,2010,23.1,3.4,40.9,17,30.9,10.6,18.1,11.6,70.9,3.1,7,4.7,72.2,4.4,2.9,3.6,45.8
169,110510,2011,1.2,0.7,69.3,14.5,37.1,4,23.4,13.4,61.5,4.2,20.4,4.9,73.7,6.9,3.1,4.9,47.2
170,110529,2010,19.2,1.5,54.9,15.1,56.4,6.4,12.8,10.5,70.4,5.6,11.4,5,78.3,7.7,2,2.8,68
171,110538,2010,20.2,2.7,53.6,16.1,63.1,7.8,6,9.2,65.1,3.3,11,6.4,71.9,5.1,2.2,4.1,61.5
172,110547,2011,6,2.2,45.9,25,19.9,5.8,19,19.6,57.2,4.5,14.7,7.9,61.9,5.8,3.8,6.3,40.7
173,110556,2010,16.9,1.6,52.4,15.4,50.9,4.7,12.1,11.9,68.1,2.8,10.3,5.3,75.2,4,1.5,4.2,57.4
174,110565,2011,14,2.4,54,19.2,50.5,6.3,10.9,14.2,71.6,2.7,9.8,4.6,77,4.1,1.9,3.7,49.4
175,110574,,,,,,,,,,,,,,,,,,35.3
176,110583,2010,12.7,1.6,62.4,14.7,54.3,6,15,11.1,73.4,2.5,10.2,4.4,80.3,3.7,2.7,2.8,53.9
177,110592,2010,8.1,3.1,58.7,18.8,38.4,8.3,20.3,18.8,48.8,8.7,16.3,25.3,55.7,13.3,2.5,21.3,40.6
178,110608,2010,14.2,1.3,55,15.4,36.8,4,14.5,15.7,74.9,1.9,7.2,5.4,78.1,3.3,1.3,3.3,48.4
179,110617,2010,9.1,2.7,57.9,19.5,40.7,8.6,14.1,16.4,60.9,4.8,14.6,6.1,67.6,7.1,2.2,5.1,38.9
180,110635,,,,,,,,,,,,,,,,,,67
181,110644,,,,,,,,,,,,,,,,,,70.7
182,110653,,,,,,,,,,,,,,,,,,76.9
183,110662,,,,,,,,,,,,,,,,,,57.7
184,110671,,,,,,,,,,,,,,,,,,80.6
185,110680,,,,,,,,,,,,,,,,,,70.2
186,110705,,,,,,,,,,,,,,,,,,76.9
187,110714,,,,,,,,,,,,,,,,,,81.6
188,110945,,,,,,,,,,,,,,,,,,
189,111009,,,,,,,,,,,,,,,,,,
190,111081,,,,,,,,,,,,,,,,,,56.1
191,111188,2010,46.9,0,30.5,0,60.9,3.9,5.5,0,73.4,3.1,12.5,1.6,79.7,3.1,1.6,6.2,59.2
192,111434,,,,,,,,,,,,,,,,,,14.1
193,111461,,,,,,,,,,,,,,,,,,26.4
194,111638,,,,,,,,,,,,,,,,,,
195,111887,,,,,,,,,,,,,,,,,,23.6
196,111896,,,,,,,,,,,,,,,,,,10.5
197,111920,,,,,,,,,,,,,,,,,,23.5
198,111939,,,,,,,,,,,,,,,,,,24.4
199,111948,,,,,,,,,,,,,,,,,,74.7
200,111966,,,,,,,,,,,,,,,,,,41.3
201,112075,,,,,,,,,,,,,,,,,,55.9
202,112084,,,,,,,,,,,,,,,,,,57.6
