index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,cohort_size
223,113856,,,,,,,,,,,,,,,,,,1528.0
224,113980,,,,,,,,,,,,,,,,,,1809.0
225,114123,,,,,,,,,,,,,,,,,,715.0
226,114266,,,,,,,,,,,,,,,,,,581.0
227,114354,,,,,,,,,,,,,,,,,,118.0
228,114390,,,,,,,,,,,,,,,,,,
229,114415,,,,,,,,,,,,,,,,,,
230,114433,,,,,,,,,,,,,,,,,,237.0
231,114716,,,,,,,,,,,,,,,,,,1017.0
232,114789,,,,,,,,,,,,,,,,,,2075.0
233,114813,,,,,,,,,,,,,,,,,,194.0
234,114859,,,,,,,,,,,,,,,,,,1689.0
235,114938,,,,,,,,,,,,,,,,,,440.0
236,115001,,,,,,,,,,,,,,,,,,1718.0
237,115126,,,,,,,,,,,,,,,,,,1228.0
238,115296,,,,,,,,,,,,,,,,,,1623.0
239,115393,,,,,,,,,,,,,,,,,,653.0
240,115409,,,,,,,,,,,,,,,,,,196.0
241,115454,,,,,,,,,,,,,,,,,,100.0
242,115472,,,,,,,,,,,,,,,,,,199.0
243,115490,,,,,,,,,,,,,,,,,,100.0
244,115515,,,,,,,,,,,,,,,,,,95.0
245,115533,,,,,,,,,,,,,,,,,,106.0
246,115728,,,,,,,,,,,,,,,,,,93.0
247,115755,2010.0,8.7,3.9,45.2,26.0,34.9,11.2,12.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0
248,115773,,,,,,,,,,,,,,,,,,21.0
249,115861,,,,,,,,,,,,,,,,,,973.0
250,116439,,,,,,,,,,,,,,,,,,1065.0
251,116466,,,,,,,,,,,,,,,,,,28.0
252,116475,,,,,,,,,,,,,,,,,,24.0
253,116484,,,,,,,,,,,,,,,,,,12.0
254,116846,,,,,,,,,,,,,,,,,,32.0
255,117052,,,,,,,,,,,,,,,,,,1841.0
256,117104,,,,,,,,,,,,,,,,,,41.0
257,117113,,,,,,,,,,,,,,,,,,263.0
258,117140,,,,,,,,,,,,,,,,,,334.0
259,117168,,,,,,,,,,,,,,,,,,30.0
260,117195,,,,,,,,,,,,,,,,,,133.0
261,117247,,,,,,,,,,,,,,,,,,291.0
262,117274,,,,,,,,,,,,,,,,,,179.0
263,117557,,,,,,,,,,,,,,,,,,33.0
264,117627,,,,,,,,,,,,,,,,,,192.0
265,117645,,,,,,,,,,,,,,,,,,1880.0
266,117690,,,,,,,,,,,,,,,,,,622.0
267,117706,,,,,,,,,,,,,,,,,,1119.0
268,117715,,,,,,,,,,,,,,,,,,248.0
269,117724,,,,,,,,,,,,,,,,,,629.0
270,117733,,,,,,,,,,,,,,,,,,919.0
271,117751,,,,,,,,,,,,,,,,,,207.0
272,117788,,,,,,,,,,,,,,,,,,620.0
273,117867,,,,,,,,,,,,,,,,,,565.0
274,117894,,,,,,,,,,,,,,,,,,599.0
275,117928,,,,,,,,,,,,,,,,,,189.0
276,117946,,,,,,,,,,,,,,,,,,1266.0
277,118198,,,,,,,,,,,,,,,,,,370.0
278,118259,,,,,,,,,,,,,,,,,,324.0
279,118277,,,,,,,,,,,,,,,,,,380.0
280,118286,,,,,,,,,,,,,,,,,,744.0
281,118347,,,,,,,,,,,,,,,,,,274.0
282,118541,,,,,,,,,,,,,,,,,,
283,118684,,,,,,,,,,,,,,,,,,167.0
284,118693,,,,,,,,,,,,,,,,,,157.0
285,118718,,,,,,,,,,,,,,,,,,1229.0
286,118772,,,,,,,,,,,,,,,,,,192.0
287,118888,,,,,,,,,,,,,,,,,,185.0
288,118912,,,,,,,,,,,,,,,,,,1208.0
289,118930,,,,,,,,,,,,,,,,,,440.0
290,118976,,,,,,,,,,,,,,,,,,1320.0
291,119067,,,,,,,,,,,,,,,,,,494.0
292,119137,,,,,,,,,,,,,,,,,,1632.0
293,119164,,,,,,,,,,,,,,,,,,2599.0
294,119173,,,,,,,,,,,,,,,,,,180.0
295,119216,,,,,,,,,,,,,,,,,,858.0
296,119270,,,,,,,,,,,,,,,,,,7.0
297,119331,,,,,,,,,,,,,,,,,,494.0
298,119359,,,,,,,,,,,,,,,,,,623.0
299,119508,,,,,,,,,,,,,,,,,,569.0
300,119544,,,,,,,,,,,,,,,,,,30.0
301,119605,,,,,,,,,,,,,,,,,,13.0
302,119775,,,,,,,,,,,,,,,,,,20.0
303,120184,,,,,,,,,,,,,,,,,,96.0
304,120254,,,,,,,,,,,,,,,,,,458.0
305,120290,,,,,,,,,,,,,,,,,,718.0
306,120342,,,,,,,,,,,,,,,,,,2056.0
